company_name,rating,bio,salary,job,founded_in,field,other
TCS,3.3,IT Services & Consulting | Jaipur +438 other locations,969999.9999999999,2600.0,1968 (58 yrs old),IT Services & Consulting,Jaipur +438 other locations
Accenture,3.7,IT Services & Consulting | Jaipur +254 other locations,650000.0,36700.0,1989 (37 yrs old),IT Services & Consulting,Jaipur +254 other locations
Wipro,3.6,IT Services & Consulting | Jaipur +370 other locations,480000.0,5900.0,1945 (81 yrs old),IT Services & Consulting,Jaipur +370 other locations
Capgemini,3.7,IT Services & Consulting | Jaipur +184 other locations,480000.0,1700.0,1967 (59 yrs old),IT Services & Consulting,Jaipur +184 other locations
HDFC Bank,3.8,Banking | Jaipur +1821 other locations,150000.0,259.0,1994 (32 yrs old),Banking,Jaipur +1821 other locations
Infosys,3.5,IT Services & Consulting | Jaipur +246 other locations,520000.0,2600.0,,IT Services & Consulting,Jaipur +246 other locations
ICICI Bank,4.0,Banking | Jaipur +1436 other locations,150000.0,21.0,1994 (32 yrs old),Banking,Jaipur +1436 other locations
HCLTech,3.4,IT Services & Consulting | Jaipur +226 other locations,370000.0,165.0,,IT Services & Consulting,Jaipur +226 other locations
Tech Mahindra,3.4,IT Services & Consulting | Jaipur +331 other locations,280000.0,356.0,1986 (40 yrs old),IT Services & Consulting,Jaipur +331 other locations
Genpact,3.6,IT Services & Consulting | Jaipur +182 other locations,229999.99999999997,671.0,1997 (29 yrs old),IT Services & Consulting,Jaipur +182 other locations
Teleperformance,3.8,BPO | Jaipur +254 other locations,95700.0,1200.0,1978 (48 yrs old),BPO,Jaipur +254 other locations
Axis Bank,3.6,Banking | Jaipur +1498 other locations,100000.0,208.0,1993 (33 yrs old),Banking,Jaipur +1498 other locations
Jio,4.4,Telecom | Jaipur +1893 other locations,62100.0,3.0,2018 (8 yrs old),Telecom,Jaipur +1893 other locations
Concentrix Corporation,3.6,BPO | Jaipur +179 other locations,130000.0,79.0,1983 (43 yrs old),BPO,Jaipur +179 other locations
