company_name,rating,bio,salary,job,founded_in
TCS,3.3,IT Services & Consulting | Jaipur +438 other locations,9.7L,2.6k,1968 (58 yrs old)
Accenture,3.7,IT Services & Consulting | Jaipur +254 other locations,6.5L,36.7k,1989 (37 yrs old)
Wipro,3.6,IT Services & Consulting | Jaipur +370 other locations,4.8L,5.9k,1945 (81 yrs old)
Capgemini,3.7,IT Services & Consulting | Jaipur +184 other locations,4.8L,1.7k,1967 (59 yrs old)
HDFC Bank,3.8,Banking | Jaipur +1821 other locations,1.5L,259,1994 (32 yrs old)
Infosys,3.5,IT Services & Consulting | Jaipur +246 other locations,5.2L,2.6k,
ICICI Bank,4.0,Banking | Jaipur +1436 other locations,1.5L,21,1994 (32 yrs old)
HCLTech,3.4,IT Services & Consulting | Jaipur +226 other locations,3.7L,165,
Tech Mahindra,3.4,IT Services & Consulting | Jaipur +331 other locations,2.8L,356,1986 (40 yrs old)
Genpact,3.6,IT Services & Consulting | Jaipur +182 other locations,2.3L,671,1997 (29 yrs old)
Teleperformance,3.8,BPO | Jaipur +254 other locations,95.7k,1.2k,1978 (48 yrs old)
Axis Bank,3.6,Banking | Jaipur +1498 other locations,1L,208,1993 (33 yrs old)
Jio,4.4,Telecom | Jaipur +1893 other locations,62.1k,3,2018 (8 yrs old)
Concentrix Corporation,3.6,BPO | Jaipur +179 other locations,1.3L,79,1983 (43 yrs old)
Amazon,3.9,Internet | Jaipur +518 other locations,1.5L,1.6k,1994 (32 yrs old)
iEnergizer,4.6,BPO | Jaipur +51 other locations,23.9k,69,
Reliance Retail,3.9,Retail | Jaipur +1150 other locations,74.4k,157,2006 (20 yrs old)
LTIMindtree,3.6,IT Services & Consulting | Jaipur +146 other locations,1.9L,446,1997 (29 yrs old)
IBM,3.9,IT Services & Consulting | Jaipur +160 other locations,2.1L,293,1911 (115 yrs old)
HDB Financial Services,3.9,NBFC | Jaipur +1089 other locations,50k,191,2007 (19 yrs old)
Larsen & Toubro Limited,3.9,Engineering & Construction | Jaipur +754 other locations,,,
Deloitte,3.7,Management Consulting | Jaipur +187 other locations,2.5L,1.4k,1845 (181 yrs old)
Kotak Mahindra Bank,3.6,Banking | Jaipur +681 other locations,86.8k,67,
Reliance Industries,4.0,Oil & Gas | Jaipur +812 other locations,72.4k,60,1977 (49 yrs old)
Vodafone Idea,3.9,Telecom | Jaipur +704 other locations,50.3k,27,2018 (8 yrs old)
Bharti Airtel,3.8,Telecom | Jaipur +789 other locations,48.9k,112,1952 (74 yrs old)
BYJU'S,3.2,EdTech | Jaipur +321 other locations,53.6k,,2011 (15 yrs old)
WNS,3.3,IT Services & Consulting | Jaipur +65 other locations,68.7k,79,1996 (30 yrs old)
Tata Motors,4.1,Automobile | Jaipur +506 other locations,42.5k,172,1945 (81 yrs old)
IDFC FIRST Bank,3.9,Banking | Jaipur +710 other locations,48.7k,31,
Ernst & Young,3.4,Management Consulting | Jaipur +132 other locations,,,
IndusInd Bank,3.4,Banking | Jaipur +787 other locations,51.7k,146,
AU Small Finance Bank,3.9,Banking | Jaipur +782 other locations,28.8k,45,1996 (30 yrs old)
Flipkart,3.9,Internet | Jaipur +560 other locations,53.7k,171,2007 (19 yrs old)
Bajaj Finserv,3.9,NBFC | Jaipur +1161 other locations,30.1k,4,2007 (19 yrs old)
Muthoot FinCorp,4.5,NBFC | Jaipur +1087 other locations,9k,39,
PwC,3.3,Management Consulting | Jaipur +132 other locations,1.2L,874,1880 (146 yrs old)
Mahindra & Mahindra,4.0,Automobile | Jaipur +562 other locations,,,
Infosys BPM,3.5,BPO | Jaipur +95 other locations,72.6k,102,2002 (24 yrs old)
DXC Technology,3.6,IT Services & Consulting | Jaipur +133 other locations,72.4k,197,2017 (9 yrs old)
HDFC Life,3.9,Insurance | Jaipur +698 other locations,33.2k,123,
Maruti Suzuki,4.2,Automobile | Jaipur +482 other locations,34.4k,698,1981 (45 yrs old)
Bandhan Bank,3.7,Banking | Jaipur +995 other locations,25.4k,14,
Conneqt Business Solutions,3.6,BPO | Jaipur +267 other locations,26.5k,361,2002 (24 yrs old)
Mphasis,3.3,IT Services & Consulting | Jaipur +63 other locations,73.2k,43,1998 (28 yrs old)
Yes Bank,3.7,Banking | Jaipur +540 other locations,43.3k,157,2004 (22 yrs old)
Tata Steel,4.0,Iron & Steel | Jaipur +228 other locations,33.9k,,1907 (119 yrs old)
Quess,3.8,Recruitment | Jaipur +740 other locations,30.4k,9,2007 (19 yrs old)
Startek,3.1,BPO | Jaipur +107 other locations,24.4k,136,2017 (9 yrs old)
Asian Paints,4.0,Chemicals | Jaipur +547 other locations,25.2k,60,
UltraTech Cement,4.1,Building Material | Jaipur +534 other locations,24.1k,24,1983 (43 yrs old)
Paytm,3.2,FinTech | Jaipur +418 other locations,34k,514,
Shriram Finance,4.0,NBFC | Jaipur +1110 other locations,15.2k,8,1979 (47 yrs old)
Bajaj Finance,3.9,NBFC | Jaipur +965 other locations,22.7k,5.1k,1987 (39 yrs old)
Equitas Small Finance Bank,4.4,Banking | Jaipur +479 other locations,13.2k,13,
EXL Service,3.6,Analytics & KPO | Jaipur +63 other locations,44.1k,1.5k,
Cipla,4.1,Pharma | Jaipur +291 other locations,26k,69,1935 (91 yrs old)
Samsung,3.9,Consumer Electronics & Appliances | Jaipur +578 other locations,26.3k,28,1969 (57 yrs old)
Ericsson,3.9,Telecom | Jaipur +162 other locations,42.6k,67,
Dr. Reddy's,4.0,Pharma | Jaipur +213 other locations,,,
Delhivery,3.8,Logistics | Jaipur +751 other locations,21.2k,171,2011 (15 yrs old)
ICICI Prudential Life Insurance,4.0,Insurance | Jaipur +505 other locations,22.9k,510,2000 (26 yrs old)
JPMorgan Chase & Co.,3.8,Financial Services | Jaipur +55 other locations,,,
JSW Steel,3.9,Iron & Steel | Jaipur +193 other locations,30.3k,105,1982 (44 yrs old)
HGS,3.7,BPO | Jaipur +121 other locations,20.9k,19,2000 (26 yrs old)
Jana Small Finance Bank,3.8,Banking | Jaipur +419 other locations,14.1k,55,2006 (20 yrs old)
Sun Pharmaceutical Industries,4.1,Pharma | Jaipur +264 other locations,23.4k,289,
Ujjivan Small Finance Bank,4.0,Banking | Jaipur +533 other locations,13k,138,2017 (9 yrs old)
Amazon Development Centre India,3.8,Internet | Jaipur +146 other locations,,,
Hexaware Technologies,3.4,IT Services & Consulting | Jaipur +67 other locations,53.2k,594,1990 (36 yrs old)
Lupin,4.1,Pharma | Jaipur +202 other locations,22.5k,32,
L&T Construction,4.0,Engineering & Construction | Jaipur +433 other locations,,,
Zydus Lifesciences,3.9,Pharma | Jaipur +176 other locations,19.9k,20,1952 (74 yrs old)
Ekart Logistics,3.9,Logistics | Jaipur +736 other locations,15.8k,,2009 (17 yrs old)
Hindustan Unilever,4.2,FMCG | Jaipur +531 other locations,20k,41,1872 (154 yrs old)
KPMG India,3.4,Management Consulting | Jaipur +111 other locations,64.5k,56,1993 (33 yrs old)
ITC,3.9,FMCG | Jaipur +375 other locations,24.4k,76,1910 (116 yrs old)
Axis Max Life Insurance,4.0,Insurance | Jaipur +494 other locations,20k,145,2000 (26 yrs old)
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Jaipur +405 other locations,,,
Tata Projects,4.2,Engineering & Construction | Jaipur +284 other locations,22k,29,
Coforge,3.2,IT Services & Consulting | Jaipur +104 other locations,48.6k,122,
Bajaj Life Insurance,3.9,Insurance | Jaipur +607 other locations,,,
L&T Technology Services,3.1,IT Services & Consulting | Jaipur +93 other locations,,,
Cholamandalam Investment & Finance,3.8,Financial Services | Jaipur +840 other locations,,,
IIFL Finance,4.0,NBFC | Jaipur +800 other locations,14.1k,67,1995 (31 yrs old)
Indian Army,4.7,Defence & Aerospace | Jaipur +364 other locations,9.5k,,1895 (131 yrs old)
Muthoot Finance,3.7,NBFC | Jaipur +784 other locations,13k,82,
JLL,4.1,Real Estate | Jaipur +85 other locations,24.2k,290,1999 (27 yrs old)
HCL Group,3.5,IT Services & Consulting | Jaipur +97 other locations,3.7L,165,
Piramal Finance,4.2,NBFC | Jaipur +424 other locations,12.6k,7,10k-50k
Virtusa Consulting Services,3.7,IT Services & Consulting | Jaipur +55 other locations,56.3k,1.3k,1996 (30 yrs old)
DMart,3.9,Retail | Jaipur +246 other locations,18.3k,181,2002 (24 yrs old)
HSBC Group,3.9,Financial Services | Jaipur +63 other locations,42.6k,130,1865 (161 yrs old)
Indiamart Intermesh,3.5,Internet | Jaipur +172 other locations,20.4k,525,1996 (30 yrs old)
Udaan,3.9,Internet | Jaipur +368 other locations,15.6k,5,
SMFG India Credit,3.9,NBFC | Jaipur +592 other locations,11.1k,80,2007 (19 yrs old)
Aurobindo Pharma,4.0,Pharma | Jaipur +115 other locations,20.7k,23,1986 (40 yrs old)
Siemens,3.9,Industrial Automation | Jaipur +152 other locations,33.5k,141,
BigBasket,3.9,Internet | Jaipur +138 other locations,19.1k,100,
Manappuram Finance,3.9,NBFC | Jaipur +647 other locations,9k,7,1949 (77 yrs old)
Firstsource Solutions,3.5,BPO | Jaipur +74 other locations,24k,135,2001 (25 yrs old)
Shapoorji Pallonji Group,4.1,Engineering & Construction | Jaipur +188 other locations,,,
Tata Capital,4.0,NBFC | Jaipur +438 other locations,15.6k,3.1k,2007 (19 yrs old)
GlobalLogic,3.5,IT Services & Consulting | Jaipur +60 other locations,40.5k,45,2000 (26 yrs old)
ICICI Lombard General Insurance Company,3.5,Insurance | Jaipur +311 other locations,,,
Standard Chartered,3.6,Banking | Jaipur +68 other locations,42k,,1853 (173 yrs old)
Mahindra Finance,3.9,NBFC | Jaipur +730 other locations,12k,385,1991 (35 yrs old)
PolicyBazaar,3.7,Internet | Jaipur +149 other locations,17.1k,412,
Apollo Hospitals,4.1,Healthcare | Jaipur +229 other locations,16.3k,136,1983 (43 yrs old)
Bosch Global Software Technologies,3.7,IT Services & Consulting | Jaipur +47 other locations,39.9k,13,1997 (29 yrs old)
Ashok Leyland,4.0,Automobile | Jaipur +255 other locations,18.6k,,1948 (78 yrs old)
Citicorp,3.7,Financial Services | Jaipur +68 other locations,51.8k,,1997 (29 yrs old)
