company_name,rating,bio,salary,job,founded_in
TCS,3.3,IT Services & Consulting | Noida +438 other locations,9.7L,2.6k,1968 (58 yrs old)
Accenture,3.7,IT Services & Consulting | Noida +254 other locations,6.5L,36.7k,1989 (37 yrs old)
Wipro,3.6,IT Services & Consulting | Noida +370 other locations,4.8L,5.9k,1945 (81 yrs old)
Cognizant,3.6,IT Services & Consulting | Noida +229 other locations,6L,755,1994 (32 yrs old)
Capgemini,3.7,IT Services & Consulting | Noida +184 other locations,4.8L,1.7k,1967 (59 yrs old)
HDFC Bank,3.8,Banking | Noida +1821 other locations,1.5L,259,1994 (32 yrs old)
Infosys,3.5,IT Services & Consulting | Noida +246 other locations,5.2L,2.6k,
ICICI Bank,4.0,Banking | Noida +1436 other locations,1.5L,21,1994 (32 yrs old)
HCLTech,3.4,IT Services & Consulting | Noida +226 other locations,3.7L,165,
Tech Mahindra,3.4,IT Services & Consulting | Noida +331 other locations,2.8L,356,1986 (40 yrs old)
Genpact,3.6,IT Services & Consulting | Noida +182 other locations,2.3L,671,1997 (29 yrs old)
Teleperformance,3.8,BPO | Noida +254 other locations,95.7k,1.2k,1978 (48 yrs old)
Axis Bank,3.6,Banking | Noida +1498 other locations,1L,208,1993 (33 yrs old)
Jio,4.4,Telecom | Noida +1893 other locations,62.1k,3,2018 (8 yrs old)
Concentrix Corporation,3.6,BPO | Noida +179 other locations,1.3L,79,1983 (43 yrs old)
Amazon,3.9,Internet | Noida +518 other locations,1.5L,1.6k,1994 (32 yrs old)
iEnergizer,4.6,BPO | Noida +51 other locations,23.9k,69,
Reliance Retail,3.9,Retail | Noida +1150 other locations,74.4k,157,2006 (20 yrs old)
LTIMindtree,3.6,IT Services & Consulting | Noida +146 other locations,1.9L,444,1997 (29 yrs old)
IBM,3.9,IT Services & Consulting | Noida +160 other locations,2.1L,293,1911 (115 yrs old)
HDB Financial Services,3.9,NBFC | Noida +1089 other locations,50k,191,2007 (19 yrs old)
Larsen & Toubro Limited,3.9,Engineering & Construction | Noida +754 other locations,,,
Deloitte,3.7,Management Consulting | Noida +187 other locations,2.5L,1.4k,1845 (181 yrs old)
Kotak Mahindra Bank,3.6,Banking | Noida +681 other locations,86.8k,67,
Reliance Industries,4.0,Oil & Gas | Noida +812 other locations,72.4k,60,1977 (49 yrs old)
Vodafone Idea,3.9,Telecom | Noida +704 other locations,50.3k,27,2018 (8 yrs old)
Bharti Airtel,3.8,Telecom | Noida +789 other locations,48.9k,112,1952 (74 yrs old)
BYJU'S,3.2,EdTech | Noida +321 other locations,53.6k,,2011 (15 yrs old)
WNS,3.3,IT Services & Consulting | Noida +65 other locations,68.7k,79,1996 (30 yrs old)
Tata Motors,4.1,Automobile | Noida +506 other locations,42.5k,172,1945 (81 yrs old)
IDFC FIRST Bank,3.9,Banking | Noida +710 other locations,48.7k,31,
Ernst & Young,3.4,Management Consulting | Noida +132 other locations,,,
IndusInd Bank,3.4,Banking | Noida +787 other locations,51.7k,146,
AU Small Finance Bank,3.9,Banking | Noida +782 other locations,28.8k,45,1996 (30 yrs old)
Flipkart,3.9,Internet | Noida +560 other locations,53.7k,171,2007 (19 yrs old)
Bajaj Finserv,3.9,NBFC | Noida +1161 other locations,30.1k,4,2007 (19 yrs old)
Muthoot FinCorp,4.5,NBFC | Noida +1087 other locations,9k,39,
PwC,3.3,Management Consulting | Noida +132 other locations,1.2L,874,1880 (146 yrs old)
Mahindra & Mahindra,4.0,Automobile | Noida +562 other locations,,,
Infosys BPM,3.5,BPO | Noida +95 other locations,72.6k,102,2002 (24 yrs old)
DXC Technology,3.6,IT Services & Consulting | Noida +133 other locations,72.4k,195,2017 (9 yrs old)
HDFC Life,3.9,Insurance | Noida +698 other locations,33.2k,123,
Maruti Suzuki,4.2,Automobile | Noida +482 other locations,34.4k,698,1981 (45 yrs old)
Bandhan Bank,3.7,Banking | Noida +995 other locations,25.4k,14,
Conneqt Business Solutions,3.6,BPO | Noida +267 other locations,26.5k,361,2002 (24 yrs old)
Mphasis,3.3,IT Services & Consulting | Noida +63 other locations,73.2k,43,1998 (28 yrs old)
Yes Bank,3.7,Banking | Noida +540 other locations,43.3k,157,2004 (22 yrs old)
Tata Steel,4.0,Iron & Steel | Noida +228 other locations,33.9k,,1907 (119 yrs old)
Quess,3.8,Recruitment | Noida +740 other locations,30.4k,9,2007 (19 yrs old)
Startek,3.1,BPO | Noida +107 other locations,24.4k,136,2017 (9 yrs old)
Asian Paints,4.0,Chemicals | Noida +547 other locations,25.2k,60,
UltraTech Cement,4.1,Building Material | Noida +534 other locations,24.1k,24,1983 (43 yrs old)
Paytm,3.2,FinTech | Noida +418 other locations,34k,493,
Shriram Finance,4.0,NBFC | Noida +1110 other locations,15.2k,8,1979 (47 yrs old)
Bajaj Finance,3.9,NBFC | Noida +965 other locations,22.7k,5.1k,1987 (39 yrs old)
Equitas Small Finance Bank,4.4,Banking | Noida +479 other locations,13.2k,13,
Sutherland Global Services,3.4,BPO | Noida +82 other locations,34.4k,299,
EXL Service,3.6,Analytics & KPO | Noida +63 other locations,44.1k,1.4k,
Cipla,4.1,Pharma | Noida +291 other locations,26k,69,1935 (91 yrs old)
Samsung,3.9,Consumer Electronics & Appliances | Noida +578 other locations,26.3k,28,1969 (57 yrs old)
Ericsson,3.9,Telecom | Noida +162 other locations,42.6k,67,
Wells Fargo,3.7,Financial Services | Noida +28 other locations,55.2k,179,
Dr. Reddy's,4.0,Pharma | Noida +213 other locations,,,
Optum Global Solutions,4.0,IT Services & Consulting | Noida +68 other locations,48.4k,76,2002 (24 yrs old)
Delhivery,3.8,Logistics | Noida +751 other locations,21.2k,171,2011 (15 yrs old)
ICICI Prudential Life Insurance,4.0,Insurance | Noida +505 other locations,22.9k,508,2000 (26 yrs old)
JPMorgan Chase & Co.,3.8,Financial Services | Noida +55 other locations,,,
JSW Steel,3.9,Iron & Steel | Noida +193 other locations,30.3k,105,1982 (44 yrs old)
HGS,3.7,BPO | Noida +121 other locations,20.9k,19,2000 (26 yrs old)
Jana Small Finance Bank,3.8,Banking | Noida +419 other locations,14.1k,55,2006 (20 yrs old)
Sun Pharmaceutical Industries,4.1,Pharma | Noida +264 other locations,23.4k,289,
Ujjivan Small Finance Bank,4.0,Banking | Noida +533 other locations,13k,138,2017 (9 yrs old)
Amazon Development Centre India,3.8,Internet | Noida +146 other locations,,,
Hexaware Technologies,3.4,IT Services & Consulting | Noida +67 other locations,53.2k,594,1990 (36 yrs old)
Lupin,4.1,Pharma | Noida +202 other locations,22.5k,32,
L&T Construction,4.0,Engineering & Construction | Noida +433 other locations,,,
Zydus Lifesciences,3.9,Pharma | Noida +176 other locations,19.9k,20,1952 (74 yrs old)
Ekart Logistics,3.9,Logistics | Noida +736 other locations,15.8k,,2009 (17 yrs old)
